,n,avg_real,avg_cpu,med_cost,matrix,expanded nodes
0,5,2497000.0,0.0,2.249612736828632,matrices/5_random_adj_mat_0.txt,8
0,5,2218300.0,0.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,14
0,5,2057400.0,15625000.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,7
0,5,2063800.0,0.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,7
0,5,2286800.0,0.0,1.8381227481602795,matrices/5_random_adj_mat_4.txt,13
0,5,2261300.0,0.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,10
0,5,1976700.0,0.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt,8
0,5,2503600.0,0.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt,7
0,5,3088400.0,0.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,6
0,5,2411100.0,0.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,13
0,6,4426300.0,0.0,2.6549481998199593,matrices/6_random_adj_mat_0.txt,9
0,6,4634800.0,0.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt,9
0,6,3832800.0,15625000.0,2.5826910133607814,matrices/6_random_adj_mat_2.txt,7
0,6,5539200.0,0.0,2.624479955310725,matrices/6_random_adj_mat_3.txt,26
0,6,4574100.0,0.0,2.204890873346207,matrices/6_random_adj_mat_4.txt,8
0,6,4290700.0,0.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,8
0,6,6240500.0,0.0,1.7547496920325507,matrices/6_random_adj_mat_6.txt,13
0,6,3307100.0,15625000.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt,8
0,6,4008300.0,0.0,2.4785680059775688,matrices/6_random_adj_mat_8.txt,23
0,6,4753500.0,0.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt,23
0,7,4798400.0,15625000.0,2.5485158336662055,matrices/7_random_adj_mat_0.txt,12
0,7,8035800.0,0.0,2.1133715738835726,matrices/7_random_adj_mat_1.txt,67
0,7,8799800.0,15625000.0,2.765538655869785,matrices/7_random_adj_mat_2.txt,53
