,med_cost,restarts
0,2.249612736828632,"[np.float64(2.512990936934534), np.float64(2.505566326698087), np.float64(2.2496127368286323)]"
0,2.4324100724478357,"[np.float64(2.6490455050318436), np.float64(2.4324100724478357)]"
0,2.092769076252572,"[np.float64(3.8712537072125905), np.float64(3.866800710507005), np.float64(3.4994863968987486), np.float64(2.100992222549241), np.float64(2.092769076252572)]"
0,1.730408540073093,"[np.float64(2.634300360716915), np.float64(1.7304085400730933)]"
0,1.8381227481602793,"[np.float64(1.881722492047313), np.float64(1.876995531638583), np.float64(1.8381227481602795)]"
0,2.907493662653474,"[np.float64(3.3784736225941376), np.float64(2.984160076717891), np.float64(2.907493662653474)]"
0,2.907678316977325,"[np.float64(3.37108620555157), np.float64(3.3367294249884916), np.float64(3.2651995763921144), np.float64(3.214554501830816), np.float64(2.907678316977325)]"
0,2.72738402847107,[np.float64(2.7273840284710706)]
0,2.1307530483783985,"[np.float64(3.293555612437735), np.float64(3.057513910160656), np.float64(2.130753048378399)]"
0,2.616055718212318,"[np.float64(3.116463662533276), np.float64(3.004615679462609), np.float64(2.7376458772229295), np.float64(2.616055718212318)]"
0,2.6549481998199593,"[np.float64(3.321652176338676), np.float64(2.8645704576283237), np.float64(2.6549481998199593)]"
0,2.3857942300953416,"[np.float64(4.46257694563409), np.float64(4.192678349215825), np.float64(2.9224612385527124), np.float64(2.899225304202207), np.float64(2.867026030487705), np.float64(2.7958957774084565), np.float64(2.5764273616082813), np.float64(2.467254903724776), np.float64(2.3857942300953416)]"
0,2.5826910133607814,"[np.float64(4.334702939093936), np.float64(3.402889098709894), np.float64(2.6164382411405254)]"
0,2.6244799553107248,"[np.float64(3.2666633051878033), np.float64(2.8368267717294815), np.float64(2.7469284349814336), np.float64(2.7150841173931273)]"
0,2.204890873346207,"[np.float64(3.661742638091261), np.float64(3.5506364100090444), np.float64(3.4408033079054436), np.float64(2.673655327999981), np.float64(2.651260807378266), np.float64(2.5401545792960496), np.float64(2.439904661446438), np.float64(2.328290340189239), np.float64(2.204890873346207)]"
0,2.1213700507683013,"[np.float64(3.029058877654863), np.float64(2.9307466608333415), np.float64(2.1213700507683013)]"
0,1.7547496920325507,"[np.float64(2.7231116585841857), np.float64(2.6852756484150087), np.float64(1.985591706148822), np.float64(1.8049838148407598), np.float64(1.7547496920325507)]"
0,1.9668510853745371,"[np.float64(3.1367422699554757), np.float64(2.840364539101601), np.float64(2.2731157749946873), np.float64(1.9668510853745373)]"
0,2.4785680059775688,"[np.float64(3.3397309820799457), np.float64(2.4785680059775688)]"
0,2.442624832178839,"[np.float64(3.4579145967156335), np.float64(3.113214342103989), np.float64(2.913304434122705), np.float64(2.907867320531557), np.float64(2.6215125053624266), np.float64(2.4525779741476916), np.float64(2.4426248321788395)]"
0,2.5485158336662055,"[np.float64(4.017096100946321), np.float64(3.9079449893396627), np.float64(3.8837160436655367), np.float64(2.9362355687930095), np.float64(2.8421908018760433), np.float64(2.659352974363941)]"
0,2.1133715738835726,"[np.float64(3.587911718822515), np.float64(3.413127073168955), np.float64(2.440122895002131), np.float64(2.2203345181120215), np.float64(2.113371573883573)]"
0,2.765538655869785,"[np.float64(3.8306700998497902), np.float64(2.999887600706888), np.float64(2.8872672975779263), np.float64(2.765538655869785)]"
0,2.846818037575111,"[np.float64(3.760982014759348), np.float64(3.542295514183049), np.float64(3.471092269376295), np.float64(3.2526889815672058), np.float64(3.225685152605819), np.float64(3.0371926800399494), np.float64(3.023002996268966), np.float64(2.846818037575111)]"
0,2.490845941532837,"[np.float64(4.678110610030081), np.float64(3.565599728994457), np.float64(2.8164338680771968), np.float64(2.4908459415328372)]"
0,2.5723564469140525,"[np.float64(3.7138147585804777), np.float64(3.2323403096056382), np.float64(3.1401467722836345), np.float64(3.058340767432992), np.float64(2.572356446914053)]"
0,2.399317511596459,"[np.float64(3.321397738958764), np.float64(3.265496225231154), np.float64(3.206269468963696), np.float64(3.0555877635536133), np.float64(3.0538756313924904), np.float64(2.812303491884493), np.float64(2.693330378417286), np.float64(2.4448035227533667)]"
0,2.869162661634958,"[np.float64(3.791239016715621), np.float64(3.2595807267772083), np.float64(3.0414044900383357), np.float64(3.021101312521519), np.float64(2.9150211715806718)]"
0,2.3131457844957337,"[np.float64(3.8432363082691685), np.float64(3.43503613684558), np.float64(3.0366684326918536), np.float64(2.9891378172020726), np.float64(2.790366585458652), np.float64(2.499723714921385), np.float64(2.313145784495734)]"
0,1.9213979013365257,"[np.float64(2.7755253618879294), np.float64(2.303297202794263), np.float64(2.271513353314176), np.float64(2.2382050939877915), np.float64(2.2343096227324635)]"
0,2.1692532406726444,"[np.float64(2.9982990357591452), np.float64(2.495167092382064), np.float64(2.425818965030542), np.float64(2.413336397091526), np.float64(2.180259654423906), np.float64(2.169253240672645)]"
0,2.617022360072963,"[np.float64(3.717961421073148), np.float64(3.2376737757899208), np.float64(3.163292092979419), np.float64(2.931947173037468), np.float64(2.744353565789672)]"
0,2.922101088853702,"[np.float64(4.26032594094489), np.float64(4.184711231394849), np.float64(3.9932663271496076), np.float64(3.9086458562055713), np.float64(3.552196885805327), np.float64(3.404232533822634), np.float64(3.288961363016786), np.float64(3.2884932484843743), np.float64(3.23917529665688), np.float64(3.1930659400265182)]"
0,2.5500304966934046,"[np.float64(4.353943255929021), np.float64(3.329501816147248), np.float64(3.0956798473376144), np.float64(3.0644311839769185), np.float64(3.0307325844297104), np.float64(2.7439714326622706), np.float64(2.610732458409586)]"
0,2.2595413093005345,"[np.float64(3.312707750141756), np.float64(3.1871114860338916), np.float64(2.9800962525966215), np.float64(2.4020270434871995)]"
0,2.5947795613832856,"[np.float64(4.185423293233924), np.float64(3.914147174776548), np.float64(3.656729829402196), np.float64(3.6217836126856264), np.float64(3.5465901695403512), np.float64(3.4641250354853983), np.float64(3.158457954867517), np.float64(3.0134933322164215), np.float64(2.6614813840181117), np.float64(2.6414412178753333)]"
0,2.6801242091455992,"[np.float64(4.179595363677526), np.float64(4.123780430265846), np.float64(3.492795266934554), np.float64(3.1920582153867536), np.float64(2.899427575870039), np.float64(2.809348811602351), np.float64(2.716863450244099)]"
0,2.653053185766895,"[np.float64(3.7597168002743158), np.float64(3.7386366195394536), np.float64(3.581218510645842), np.float64(3.1979128954779816), np.float64(3.057349041773079), np.float64(2.6530531857668955)]"
0,2.9245232677730293,"[np.float64(5.204736523911156), np.float64(4.991750140169323), np.float64(4.209765539077886), np.float64(3.549660548008001), np.float64(3.4438080849186754), np.float64(2.9495958253145265)]"
0,2.3974053238819213,"[np.float64(3.3198860780573813), np.float64(3.200777954565899), np.float64(2.9382751339534368)]"
0,2.761946756155129,"[np.float64(4.87763050497003), np.float64(4.857825983180109), np.float64(4.852326140853512), np.float64(4.515665112204256), np.float64(3.4438454235068336), np.float64(3.059738819857641), np.float64(3.0543311434063805), np.float64(3.0483242814718157), np.float64(2.8030371210472507), np.float64(2.7633804953539634)]"
0,3.4250616930531534,"[np.float64(5.867231985790282), np.float64(5.276266015643862), np.float64(4.979846511468299), np.float64(4.96919982783195), np.float64(4.453699385302631), np.float64(4.180757852053063)]"
0,2.976243492945899,"[np.float64(4.894638520936292), np.float64(4.711078587357519), np.float64(4.436223959417432), np.float64(4.36048144678839), np.float64(4.228648898922044), np.float64(3.9266691047076803), np.float64(3.7721686037551727), np.float64(3.7704176272959726), np.float64(3.71361060176661), np.float64(3.5625950443237873)]"
0,2.4796224566556866,"[np.float64(3.101605175653557), np.float64(3.0732837329352036), np.float64(2.97749563790595), np.float64(2.9671055955553647), np.float64(2.552251132892907)]"
0,2.748789980645658,"[np.float64(4.5983051100991785), np.float64(3.722275204044351), np.float64(3.6585280328061733), np.float64(3.619787978555716), np.float64(3.469396457376809), np.float64(3.404292224920261), np.float64(3.321499672899793), np.float64(3.0359859742576445), np.float64(2.998265276522675), np.float64(2.8654316247569143)]"
0,2.7163262667987813,"[np.float64(5.561530508484969), np.float64(5.5346331604945185), np.float64(5.067215336807619), np.float64(4.749226056065009), np.float64(4.468993286555042), np.float64(3.619155216612994), np.float64(3.6097186964440815), np.float64(3.5211956068512342), np.float64(3.204575684794968), np.float64(2.735829266110626)]"
0,2.8945244142259123,"[np.float64(4.486873218293738), np.float64(4.467651557860079), np.float64(3.777648092830938), np.float64(3.6851275303138076), np.float64(3.582613230105057), np.float64(3.4442980585661154), np.float64(3.23241714940102), np.float64(3.0368444567038333), np.float64(2.982113850340423)]"
0,3.4309257711030487,"[np.float64(4.920816811648225), np.float64(4.459334875322542), np.float64(4.2235612115583), np.float64(3.904844166208237), np.float64(3.888109820981583)]"
0,2.9485998664242383,"[np.float64(4.686525519697478), np.float64(4.684919964358494), np.float64(4.238727375275504), np.float64(4.237121819936519), np.float64(4.235979481016699), np.float64(4.120824103613287), np.float64(3.66755674167472), np.float64(3.5676948919396225), np.float64(3.529847876522805), np.float64(3.4588879165792097)]"
0,2.2509074693075624,"[np.float64(3.762108131029377), np.float64(3.681401460253113), np.float64(3.3952044448358856), np.float64(3.3205903902277516), np.float64(2.943663487617835), np.float64(2.9020755806293117), np.float64(2.890034002852812)]"
