,n,avg_real,avg_cpu,med_cost,matrix
0,5,130195.0,781250.0,2.2496127368286323,matrices/5_random_adj_mat_0.txt
0,5,129830.0,0.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt
0,5,118875.0,0.0,2.092769076252572,matrices/5_random_adj_mat_2.txt
0,5,133770.0,0.0,1.730408540073093,matrices/5_random_adj_mat_3.txt
0,5,128875.0,781250.0,1.8381227481602795,matrices/5_random_adj_mat_4.txt
0,5,166845.0,0.0,2.907493662653474,matrices/5_random_adj_mat_5.txt
0,5,123510.0,0.0,2.907678316977326,matrices/5_random_adj_mat_6.txt
0,5,171295.0,0.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt
0,5,184015.0,0.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt
0,5,132080.0,0.0,2.616055718212318,matrices/5_random_adj_mat_9.txt
0,6,169450.0,0.0,2.6603705791553898,matrices/6_random_adj_mat_0.txt
0,6,148660.0,781250.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt
0,6,171465.0,0.0,2.5826910133607814,matrices/6_random_adj_mat_2.txt
0,6,196285.0,0.0,2.715084117393127,matrices/6_random_adj_mat_3.txt
0,6,140425.0,0.0,2.2048908733462076,matrices/6_random_adj_mat_4.txt
0,6,135960.0,0.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt
0,6,131310.0,0.0,1.754749692032551,matrices/6_random_adj_mat_6.txt
0,6,134055.0,0.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt
0,6,128895.0,781250.0,2.497656883532935,matrices/6_random_adj_mat_8.txt
0,6,130495.0,0.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt
0,7,181175.0,0.0,2.5485158336662064,matrices/7_random_adj_mat_0.txt
0,7,198155.0,781250.0,2.1133715738835726,matrices/7_random_adj_mat_1.txt
0,7,155565.0,0.0,2.7655386558697854,matrices/7_random_adj_mat_2.txt
0,7,157965.0,0.0,2.846818037575111,matrices/7_random_adj_mat_3.txt
0,7,178735.0,0.0,2.5591063799202645,matrices/7_random_adj_mat_4.txt
0,7,152555.0,781250.0,2.572356446914053,matrices/7_random_adj_mat_5.txt
0,7,182095.0,0.0,2.3993175115964593,matrices/7_random_adj_mat_6.txt
0,7,137095.0,0.0,2.8691626616349586,matrices/7_random_adj_mat_7.txt
0,7,204770.0,781250.0,2.313145784495734,matrices/7_random_adj_mat_8.txt
0,7,151245.0,0.0,1.9213979013365259,matrices/7_random_adj_mat_9.txt
0,8,159345.0,0.0,2.184334528169454,matrices/8_random_adj_mat_0.txt
0,8,165120.0,0.0,2.6325363308696437,matrices/8_random_adj_mat_1.txt
0,8,145680.0,0.0,2.9221010888537022,matrices/8_random_adj_mat_2.txt
0,8,193615.0,0.0,2.550030496693405,matrices/8_random_adj_mat_3.txt
0,8,186045.0,0.0,2.3429996155030244,matrices/8_random_adj_mat_4.txt
0,8,151120.0,781250.0,2.5947795613832856,matrices/8_random_adj_mat_5.txt
0,8,153220.0,0.0,2.7897433463791153,matrices/8_random_adj_mat_6.txt
0,8,159485.0,0.0,2.653053185766895,matrices/8_random_adj_mat_7.txt
0,8,161690.0,0.0,2.9245232677730293,matrices/8_random_adj_mat_8.txt
0,8,157995.0,0.0,2.3974053238819213,matrices/8_random_adj_mat_9.txt
0,9,190815.0,0.0,2.763380495353963,matrices/9_random_adj_mat_0.txt
0,9,185725.0,0.0,3.425061693053154,matrices/9_random_adj_mat_1.txt
0,9,177790.0,781250.0,3.0553963577880143,matrices/9_random_adj_mat_2.txt
0,9,179155.0,0.0,2.4796224566556866,matrices/9_random_adj_mat_3.txt
0,9,178710.0,0.0,2.8339168666810615,matrices/9_random_adj_mat_4.txt
0,9,176330.0,0.0,2.7163262667987818,matrices/9_random_adj_mat_5.txt
0,9,169960.0,0.0,3.0514873610993813,matrices/9_random_adj_mat_6.txt
0,9,169530.0,0.0,3.4957313837443627,matrices/9_random_adj_mat_7.txt
0,9,200935.0,0.0,2.9485998664242388,matrices/9_random_adj_mat_8.txt
0,9,174840.0,781250.0,2.2771753644261548,matrices/9_random_adj_mat_9.txt
0,10,185755.0,0.0,2.4264022434978916,matrices/10_random_adj_mat_0.txt
0,10,206665.0,0.0,3.0344197974476312,matrices/10_random_adj_mat_1.txt
0,10,190095.0,781250.0,3.359837310139135,matrices/10_random_adj_mat_2.txt
0,10,182335.0,0.0,3.442074087708922,matrices/10_random_adj_mat_3.txt
0,10,218280.0,0.0,3.2268629179918995,matrices/10_random_adj_mat_4.txt
0,10,202505.0,781250.0,2.334051028911734,matrices/10_random_adj_mat_5.txt
0,10,223010.0,0.0,2.8527480232166775,matrices/10_random_adj_mat_6.txt
0,10,181420.0,0.0,2.8362240587991137,matrices/10_random_adj_mat_7.txt
0,10,186630.0,0.0,2.983899143056186,matrices/10_random_adj_mat_8.txt
0,10,193965.0,0.0,2.828184716381501,matrices/10_random_adj_mat_9.txt
0,15,303110.0,0.0,3.6894075271781492,matrices/15_random_adj_mat_0.txt
0,15,320305.0,781250.0,3.2927732135176573,matrices/15_random_adj_mat_1.txt
0,15,293990.0,0.0,3.484734303238808,matrices/15_random_adj_mat_2.txt
0,15,323665.0,781250.0,3.2709396321452004,matrices/15_random_adj_mat_3.txt
0,15,282410.0,0.0,3.1181581075077274,matrices/15_random_adj_mat_4.txt
0,15,313105.0,781250.0,3.034791260708353,matrices/15_random_adj_mat_5.txt
0,15,335095.0,0.0,2.9783505014375176,matrices/15_random_adj_mat_6.txt
0,15,304625.0,781250.0,3.040125407138081,matrices/15_random_adj_mat_7.txt
