,n,avg_real,avg_cpu,med_cost,matrix
0,5,153540.0,156250.0,2.302807275241958,matrices/5_random_adj_mat_0.txt
0,5,140473.0,156250.0,2.6525723053140156,matrices/5_random_adj_mat_1.txt
0,5,117327.0,156250.0,2.100992222549241,matrices/5_random_adj_mat_2.txt
0,5,138441.0,156250.0,1.7556044018956867,matrices/5_random_adj_mat_3.txt
0,5,158914.0,156250.0,1.8475581122675475,matrices/5_random_adj_mat_4.txt
0,5,128154.0,156250.0,3.077030753170252,matrices/5_random_adj_mat_5.txt
0,5,107006.0,156250.0,3.3168358705695216,matrices/5_random_adj_mat_6.txt
0,5,112988.0,156250.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt
0,5,108616.0,0.0,2.1702492106510727,matrices/5_random_adj_mat_8.txt
0,5,109088.0,0.0,2.7660935522074466,matrices/5_random_adj_mat_9.txt
0,6,114666.0,156250.0,2.6603705791553898,matrices/6_random_adj_mat_0.txt
0,6,124073.0,156250.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt
0,6,110022.0,156250.0,2.582691013360782,matrices/6_random_adj_mat_2.txt
0,6,108774.0,0.0,2.731882476960908,matrices/6_random_adj_mat_3.txt
0,6,110838.0,156250.0,2.266590606767723,matrices/6_random_adj_mat_4.txt
0,6,110454.0,156250.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt
0,6,111257.0,156250.0,1.8773865995729289,matrices/6_random_adj_mat_6.txt
0,6,114720.0,0.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt
0,6,112309.0,0.0,2.5990295429391406,matrices/6_random_adj_mat_8.txt
0,6,113634.0,156250.0,2.510452305693461,matrices/6_random_adj_mat_9.txt
0,7,112329.0,156250.0,2.9340670778795004,matrices/7_random_adj_mat_0.txt
0,7,121760.0,156250.0,2.4257569067647045,matrices/7_random_adj_mat_1.txt
0,7,116087.0,156250.0,2.9443437144342215,matrices/7_random_adj_mat_2.txt
0,7,114087.0,0.0,2.846818037575111,matrices/7_random_adj_mat_3.txt
0,7,113965.0,156250.0,2.851073244054548,matrices/7_random_adj_mat_4.txt
0,7,119031.0,156250.0,2.572356446914053,matrices/7_random_adj_mat_5.txt
0,7,117178.0,156250.0,2.5758672009027204,matrices/7_random_adj_mat_6.txt
0,7,113301.0,156250.0,2.9353243490974883,matrices/7_random_adj_mat_7.txt
0,7,115224.0,0.0,2.567796356408274,matrices/7_random_adj_mat_8.txt
0,7,112586.0,0.0,2.150708626659995,matrices/7_random_adj_mat_9.txt
0,8,122321.0,156250.0,2.371238923060735,matrices/8_random_adj_mat_0.txt
0,8,121663.0,156250.0,2.7213801168698435,matrices/8_random_adj_mat_1.txt
0,8,119557.0,156250.0,2.9221010888537022,matrices/8_random_adj_mat_2.txt
0,8,124335.0,156250.0,2.677493529243073,matrices/8_random_adj_mat_3.txt
0,8,119985.0,0.0,2.559505394972731,matrices/8_random_adj_mat_4.txt
0,8,118310.0,0.0,2.913825371013935,matrices/8_random_adj_mat_5.txt
0,8,120750.0,156250.0,2.8999721309576705,matrices/8_random_adj_mat_6.txt
0,8,116176.0,156250.0,2.899983558047813,matrices/8_random_adj_mat_7.txt
0,8,120682.0,156250.0,2.9245232677730297,matrices/8_random_adj_mat_8.txt
0,8,119220.0,156250.0,2.7570300516360797,matrices/8_random_adj_mat_9.txt
0,9,127889.0,0.0,2.9584097800300824,matrices/9_random_adj_mat_0.txt
0,9,122288.0,0.0,3.8978940375413935,matrices/9_random_adj_mat_1.txt
0,9,124185.0,156250.0,3.8460335889025763,matrices/9_random_adj_mat_2.txt
0,9,123943.0,156250.0,2.9814804308513576,matrices/9_random_adj_mat_3.txt
0,9,122861.0,156250.0,2.899108414923485,matrices/9_random_adj_mat_4.txt
0,9,125886.0,156250.0,2.8491581821316134,matrices/9_random_adj_mat_5.txt
0,9,133406.0,156250.0,3.146692569514197,matrices/9_random_adj_mat_6.txt
0,9,136649.0,156250.0,3.574588355070119,matrices/9_random_adj_mat_7.txt
0,9,129163.0,156250.0,3.162112012434963,matrices/9_random_adj_mat_8.txt
0,9,129143.0,156250.0,2.5407073472161494,matrices/9_random_adj_mat_9.txt
0,10,129628.0,156250.0,2.698943228318944,matrices/10_random_adj_mat_0.txt
0,10,131532.0,0.0,3.2935947537127697,matrices/10_random_adj_mat_1.txt
0,10,135897.0,156250.0,3.8746334044263624,matrices/10_random_adj_mat_2.txt
0,10,130106.0,156250.0,3.483118298482454,matrices/10_random_adj_mat_3.txt
0,10,128794.0,156250.0,3.649077620700111,matrices/10_random_adj_mat_4.txt
0,10,135119.0,156250.0,2.6921935537774893,matrices/10_random_adj_mat_5.txt
0,10,128205.0,156250.0,3.1712051712313105,matrices/10_random_adj_mat_6.txt
0,10,129343.0,156250.0,3.092246848346437,matrices/10_random_adj_mat_7.txt
0,10,136936.0,156250.0,3.3411311653424782,matrices/10_random_adj_mat_8.txt
0,10,128144.0,156250.0,3.1776285095484766,matrices/10_random_adj_mat_9.txt
0,15,173537.0,156250.0,4.268543252131833,matrices/15_random_adj_mat_0.txt
0,15,165284.0,156250.0,3.7704807771154814,matrices/15_random_adj_mat_1.txt
0,15,162456.0,156250.0,3.7437062104288312,matrices/15_random_adj_mat_2.txt
