,n,avg_real,avg_cpu,med_cost,matrix,k
0,5,198715.0,312500.0,2.249612736828632,matrices/5_random_adj_mat_0.txt,3
0,5,215409.0,156250.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,3
0,5,199715.0,156250.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,3
0,5,206605.0,156250.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,3
0,5,290731.0,156250.0,1.8381227481602795,matrices/5_random_adj_mat_4.txt,3
0,5,258599.0,312500.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,3
0,5,231156.0,156250.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt,3
0,5,197998.0,312500.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt,3
0,5,198267.0,156250.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,3
0,5,199153.0,156250.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,3
0,6,227942.0,312500.0,2.6603705791553893,matrices/6_random_adj_mat_0.txt,3
0,6,226985.0,156250.0,2.467254903724776,matrices/6_random_adj_mat_1.txt,3
0,6,231869.0,312500.0,2.616438241140525,matrices/6_random_adj_mat_2.txt,3
0,6,223284.0,312500.0,2.715084117393127,matrices/6_random_adj_mat_3.txt,3
0,6,237054.0,156250.0,2.328290340189239,matrices/6_random_adj_mat_4.txt,3
0,6,223744.0,312500.0,2.2543525926829053,matrices/6_random_adj_mat_5.txt,3
0,6,229737.0,156250.0,1.8736489980470978,matrices/6_random_adj_mat_6.txt,3
0,6,226435.0,312500.0,2.0995710450722878,matrices/6_random_adj_mat_7.txt,3
0,6,229675.0,156250.0,2.516745761088301,matrices/6_random_adj_mat_8.txt,3
0,6,233125.0,312500.0,2.4815151399205764,matrices/6_random_adj_mat_9.txt,3
0,7,259031.0,312500.0,2.7125160759760063,matrices/7_random_adj_mat_0.txt,3
0,7,263761.0,156250.0,2.2207779815397535,matrices/7_random_adj_mat_1.txt,3
0,7,260446.0,312500.0,2.944343714434222,matrices/7_random_adj_mat_2.txt,3
0,7,254468.0,312500.0,3.0644688895635035,matrices/7_random_adj_mat_3.txt,3
0,7,260465.0,312500.0,2.7366614787149657,matrices/7_random_adj_mat_4.txt,3
0,7,255957.0,156250.0,2.9924102362306657,matrices/7_random_adj_mat_5.txt,3
0,7,266731.0,312500.0,2.48503502711847,matrices/7_random_adj_mat_6.txt,3
0,7,257162.0,312500.0,3.0293898291316177,matrices/7_random_adj_mat_7.txt,3
0,7,253848.0,312500.0,2.658610949040114,matrices/7_random_adj_mat_8.txt,3
0,7,261183.0,156250.0,2.087545767202025,matrices/7_random_adj_mat_9.txt,3
0,8,290349.0,312500.0,2.3049097486743495,matrices/8_random_adj_mat_0.txt,3
0,8,297662.0,312500.0,2.7894508359501167,matrices/8_random_adj_mat_1.txt,3
0,8,294846.0,312500.0,3.314901289273898,matrices/8_random_adj_mat_2.txt,3
0,8,289589.0,312500.0,2.8747420827055112,matrices/8_random_adj_mat_3.txt,3
0,8,290330.0,312500.0,2.423842426889597,matrices/8_random_adj_mat_4.txt,3
0,8,294287.0,312500.0,2.856785704747594,matrices/8_random_adj_mat_5.txt,3
0,8,295431.0,312500.0,2.896290965698941,matrices/8_random_adj_mat_6.txt,3
0,8,285804.0,312500.0,3.192273705234186,matrices/8_random_adj_mat_7.txt,3
0,8,292020.0,312500.0,3.332296288552852,matrices/8_random_adj_mat_8.txt,3
0,8,296028.0,312500.0,2.7348397645232523,matrices/8_random_adj_mat_9.txt,3
0,9,325454.0,312500.0,2.991355037302645,matrices/9_random_adj_mat_0.txt,3
0,9,333974.0,312500.0,4.0775296972806885,matrices/9_random_adj_mat_1.txt,3
0,9,328857.0,312500.0,3.4686475203406144,matrices/9_random_adj_mat_2.txt,3
0,9,332757.0,468750.0,2.789779982194719,matrices/9_random_adj_mat_3.txt,3
0,9,330416.0,312500.0,3.0127319615548025,matrices/9_random_adj_mat_4.txt,3
0,9,330098.0,312500.0,3.266919405861489,matrices/9_random_adj_mat_5.txt,3
0,9,342005.0,312500.0,3.255162791132899,matrices/9_random_adj_mat_6.txt,3
0,9,332672.0,468750.0,3.971192697545323,matrices/9_random_adj_mat_7.txt,3
0,9,323900.0,312500.0,3.5260161067262876,matrices/9_random_adj_mat_8.txt,3
0,9,331028.0,312500.0,2.4865853254836985,matrices/9_random_adj_mat_9.txt,3
0,10,376827.0,312500.0,3.113029888620636,matrices/10_random_adj_mat_0.txt,3
0,10,368184.0,468750.0,3.5375485963111726,matrices/10_random_adj_mat_1.txt,3
0,10,379150.0,312500.0,4.109951122470385,matrices/10_random_adj_mat_2.txt,3
0,10,374649.0,468750.0,3.8818929184745636,matrices/10_random_adj_mat_3.txt,3
0,10,365854.0,312500.0,4.080739461371474,matrices/10_random_adj_mat_4.txt,3
0,10,368727.0,468750.0,3.02947264278209,matrices/10_random_adj_mat_5.txt,3
0,10,366329.0,312500.0,3.373311053492756,matrices/10_random_adj_mat_6.txt,3
0,10,366211.0,312500.0,3.611264255999555,matrices/10_random_adj_mat_7.txt,3
0,10,363511.0,312500.0,3.519467660304046,matrices/10_random_adj_mat_8.txt,3
0,10,376767.0,312500.0,3.5907464485237575,matrices/10_random_adj_mat_9.txt,3
0,15,628894.0,781250.0,4.872166212506584,matrices/15_random_adj_mat_0.txt,3
0,15,625667.0,625000.0,4.3965106584880225,matrices/15_random_adj_mat_1.txt,3
0,15,631144.0,625000.0,4.494371127547126,matrices/15_random_adj_mat_2.txt,3
0,15,632158.0,625000.0,4.2774408740959835,matrices/15_random_adj_mat_3.txt,3
0,15,634699.0,625000.0,4.238147298199735,matrices/15_random_adj_mat_4.txt,3
0,15,632410.0,625000.0,4.15952449712217,matrices/15_random_adj_mat_5.txt,3
