,n,avg_real,avg_cpu,med_cost,matrix,initialTemperature
0,5,3383412.0,3125000.0,2.2496127368286323,matrices/5_random_adj_mat_0.txt,1
0,5,3651192.0,3125000.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,1
0,5,3140132.0,2500000.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,1
0,5,3103540.0,3125000.0,1.7304085400730933,matrices/5_random_adj_mat_3.txt,1
0,5,3145300.0,3125000.0,1.8381227481602795,matrices/5_random_adj_mat_4.txt,1
0,5,3236420.0,3750000.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,1
0,5,3272816.0,3125000.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt,1
0,5,3188216.0,3125000.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt,1
0,5,3147664.0,3125000.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,1
0,5,3149304.0,3750000.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,1
0,6,3363708.0,3125000.0,2.6549481998199593,matrices/6_random_adj_mat_0.txt,1
0,6,3400692.0,3750000.0,2.385794230095342,matrices/6_random_adj_mat_1.txt,1
0,6,3356492.0,3125000.0,2.582691013360782,matrices/6_random_adj_mat_2.txt,1
0,6,3316740.0,3125000.0,2.624479955310725,matrices/6_random_adj_mat_3.txt,1
0,6,3340752.0,3125000.0,2.204890873346207,matrices/6_random_adj_mat_4.txt,1
0,6,3424596.0,3125000.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,1
0,6,3370104.0,3750000.0,1.754749692032551,matrices/6_random_adj_mat_6.txt,1
0,6,3302328.0,3125000.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt,1
0,6,3341944.0,3750000.0,2.4785680059775688,matrices/6_random_adj_mat_8.txt,1
0,6,3321904.0,3125000.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt,1
0,7,3512880.0,3750000.0,2.548515833666206,matrices/7_random_adj_mat_0.txt,1
0,7,3485928.0,3750000.0,2.113815037311305,matrices/7_random_adj_mat_1.txt,1
0,7,3480156.0,3125000.0,2.777140000591629,matrices/7_random_adj_mat_2.txt,1
0,7,3521128.0,3750000.0,2.846818037575111,matrices/7_random_adj_mat_3.txt,1
0,7,3569552.0,3750000.0,2.490845941532837,matrices/7_random_adj_mat_4.txt,1
0,7,3480392.0,3125000.0,2.623531780712397,matrices/7_random_adj_mat_5.txt,1
0,7,3531852.0,3125000.0,2.3993175115964593,matrices/7_random_adj_mat_6.txt,1
0,7,3518180.0,3750000.0,2.8691626616349586,matrices/7_random_adj_mat_7.txt,1
0,7,3491900.0,3750000.0,2.3131457844957337,matrices/7_random_adj_mat_8.txt,1
0,7,3814128.0,3750000.0,1.9213979013365259,matrices/7_random_adj_mat_9.txt,1
0,8,3657968.0,3750000.0,2.1802596544239066,matrices/8_random_adj_mat_0.txt,1
0,8,3692472.0,3750000.0,2.648050301666325,matrices/8_random_adj_mat_1.txt,1
0,8,3637100.0,3750000.0,2.9221010888537027,matrices/8_random_adj_mat_2.txt,1
0,8,3682500.0,3750000.0,2.555412885542519,matrices/8_random_adj_mat_3.txt,1
0,8,3803508.0,3750000.0,2.2756674538241004,matrices/8_random_adj_mat_4.txt,1
0,8,3658556.0,3750000.0,2.5947795613832856,matrices/8_random_adj_mat_5.txt,1
0,8,3760304.0,3750000.0,2.7168634502440994,matrices/8_random_adj_mat_6.txt,1
0,8,3795344.0,3750000.0,2.6741333665017577,matrices/8_random_adj_mat_7.txt,1
0,8,3899340.0,3750000.0,2.9245232677730297,matrices/8_random_adj_mat_8.txt,1
0,8,3781612.0,3750000.0,2.3974053238819213,matrices/8_random_adj_mat_9.txt,1
0,9,4043900.0,3750000.0,2.763380495353963,matrices/9_random_adj_mat_0.txt,1
0,9,3941240.0,4375000.0,3.425061693053154,matrices/9_random_adj_mat_1.txt,1
0,9,4079020.0,3750000.0,3.0553963577880148,matrices/9_random_adj_mat_2.txt,1
