,n,avg_real,avg_cpu,med_cost,matrix
0,5,411415.0,0.0,2.249612736828632,matrices/5_random_adj_mat_0.txt
0,5,378710.0,781250.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt
0,5,501835.0,781250.0,2.092769076252572,matrices/5_random_adj_mat_2.txt
0,5,457005.0,0.0,1.730408540073093,matrices/5_random_adj_mat_3.txt
0,5,432280.0,781250.0,1.8381227481602793,matrices/5_random_adj_mat_4.txt
0,5,442860.0,781250.0,2.907493662653474,matrices/5_random_adj_mat_5.txt
0,5,383975.0,0.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt
0,5,398935.0,781250.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt
0,5,425570.0,781250.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt
0,5,469500.0,0.0,2.616055718212318,matrices/5_random_adj_mat_9.txt
0,6,498300.0,781250.0,2.6603705791553893,matrices/6_random_adj_mat_0.txt
0,6,585525.0,781250.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt
0,6,444745.0,781250.0,2.5826910133607814,matrices/6_random_adj_mat_2.txt
0,6,448120.0,0.0,2.715084117393127,matrices/6_random_adj_mat_3.txt
0,6,444560.0,781250.0,2.204890873346207,matrices/6_random_adj_mat_4.txt
0,6,582605.0,781250.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt
0,6,474930.0,0.0,1.7547496920325507,matrices/6_random_adj_mat_6.txt
0,6,451490.0,0.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt
0,6,464860.0,781250.0,2.4785680059775688,matrices/6_random_adj_mat_8.txt
0,6,462050.0,0.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt
0,7,498985.0,0.0,2.5485158336662064,matrices/7_random_adj_mat_0.txt
0,7,502590.0,781250.0,2.1138150373113045,matrices/7_random_adj_mat_1.txt
0,7,527675.0,781250.0,2.851969437557203,matrices/7_random_adj_mat_2.txt
0,7,502925.0,0.0,3.023002996268966,matrices/7_random_adj_mat_3.txt
0,7,512485.0,781250.0,2.490845941532837,matrices/7_random_adj_mat_4.txt
0,7,486205.0,781250.0,2.5979441138132247,matrices/7_random_adj_mat_5.txt
0,7,505780.0,0.0,2.416266881171261,matrices/7_random_adj_mat_6.txt
0,7,560315.0,0.0,2.9150211715806718,matrices/7_random_adj_mat_7.txt
0,7,514315.0,781250.0,2.499723714921385,matrices/7_random_adj_mat_8.txt
0,7,493030.0,781250.0,2.0629258413534863,matrices/7_random_adj_mat_9.txt
0,8,586020.0,781250.0,2.2156637821968035,matrices/8_random_adj_mat_0.txt
0,8,604685.0,0.0,2.709598843498965,matrices/8_random_adj_mat_1.txt
0,8,610990.0,781250.0,3.044144650331388,matrices/8_random_adj_mat_2.txt
0,8,605775.0,781250.0,2.6107324584095855,matrices/8_random_adj_mat_3.txt
0,8,605595.0,781250.0,2.3648721097559076,matrices/8_random_adj_mat_4.txt
0,8,566365.0,781250.0,2.66508305191682,matrices/8_random_adj_mat_5.txt
0,8,575585.0,781250.0,2.823279727145146,matrices/8_random_adj_mat_6.txt
0,8,581310.0,0.0,2.8723392354530235,matrices/8_random_adj_mat_7.txt
0,8,605695.0,0.0,3.1157015092929594,matrices/8_random_adj_mat_8.txt
0,8,582780.0,781250.0,2.618958480139443,matrices/8_random_adj_mat_9.txt
0,9,671030.0,781250.0,2.8195751274800505,matrices/9_random_adj_mat_0.txt
0,9,663280.0,781250.0,3.850692526298997,matrices/9_random_adj_mat_1.txt
0,9,702445.0,781250.0,3.2901932990173517,matrices/9_random_adj_mat_2.txt
0,9,653140.0,781250.0,2.643352035217535,matrices/9_random_adj_mat_3.txt
0,9,664590.0,781250.0,2.8819796117949124,matrices/9_random_adj_mat_4.txt
0,9,673930.0,781250.0,2.7521731319278953,matrices/9_random_adj_mat_5.txt
0,9,656885.0,781250.0,3.0514873610993813,matrices/9_random_adj_mat_6.txt
0,9,676125.0,781250.0,3.616915751476591,matrices/9_random_adj_mat_7.txt
0,9,671805.0,781250.0,3.1452955754717618,matrices/9_random_adj_mat_8.txt
0,9,692305.0,781250.0,2.417742301088816,matrices/9_random_adj_mat_9.txt
0,10,794180.0,781250.0,2.7815379488943277,matrices/10_random_adj_mat_0.txt
0,10,754035.0,781250.0,3.3079601847862845,matrices/10_random_adj_mat_1.txt
0,10,774420.0,781250.0,3.8730539714126246,matrices/10_random_adj_mat_2.txt
0,10,751455.0,781250.0,3.5121503436583907,matrices/10_random_adj_mat_3.txt
0,10,748690.0,781250.0,3.5927017091344604,matrices/10_random_adj_mat_4.txt
0,10,747650.0,781250.0,2.7114849705944866,matrices/10_random_adj_mat_5.txt
0,10,769320.0,781250.0,3.1329478215826168,matrices/10_random_adj_mat_6.txt
0,10,744645.0,781250.0,3.1089123154656315,matrices/10_random_adj_mat_7.txt
0,10,749105.0,781250.0,3.1776319842431526,matrices/10_random_adj_mat_8.txt
0,10,763865.0,781250.0,3.3241239298444945,matrices/10_random_adj_mat_9.txt
0,15,1310070.0,1562500.0,4.488715061060287,matrices/15_random_adj_mat_0.txt
0,15,1328515.0,1562500.0,3.8188462711312727,matrices/15_random_adj_mat_1.txt
0,15,1306655.0,781250.0,4.1293997374927915,matrices/15_random_adj_mat_2.txt
0,15,1287695.0,1562500.0,3.8980227677347252,matrices/15_random_adj_mat_3.txt
0,15,1297565.0,1562500.0,3.8026757611777624,matrices/15_random_adj_mat_4.txt
0,15,1291165.0,781250.0,3.826661439409219,matrices/15_random_adj_mat_5.txt
0,15,1286380.0,781250.0,3.5948897590607727,matrices/15_random_adj_mat_6.txt
0,15,1360195.0,1562500.0,3.704302690713443,matrices/15_random_adj_mat_7.txt
0,15,1286985.0,1562500.0,3.7513788824695857,matrices/15_random_adj_mat_8.txt
0,15,1283915.0,781250.0,4.208308615960609,matrices/15_random_adj_mat_9.txt
0,20,1972135.0,1562500.0,4.815395630320692,matrices/20_random_adj_mat_0.txt
0,20,2006640.0,2343750.0,5.888260805788629,matrices/20_random_adj_mat_1.txt
0,20,1997475.0,1562500.0,5.399679136202417,matrices/20_random_adj_mat_2.txt
0,20,2010105.0,2343750.0,5.37767747093449,matrices/20_random_adj_mat_3.txt
0,20,2234660.0,2343750.0,4.647854688595254,matrices/20_random_adj_mat_4.txt
0,20,1979130.0,2343750.0,4.5386612931811126,matrices/20_random_adj_mat_5.txt
0,20,1976700.0,1562500.0,5.172136989747514,matrices/20_random_adj_mat_6.txt
0,20,1985145.0,2343750.0,4.4797430809738055,matrices/20_random_adj_mat_7.txt
0,20,2000600.0,1562500.0,5.969537705086644,matrices/20_random_adj_mat_8.txt
0,20,1999875.0,1562500.0,4.863469735725504,matrices/20_random_adj_mat_9.txt
0,25,2889290.0,3125000.0,5.027594777258033,matrices/25_random_adj_mat_0.txt
0,25,2849305.0,3125000.0,6.072185903046467,matrices/25_random_adj_mat_1.txt
0,25,2796790.0,2343750.0,5.461383741481997,matrices/25_random_adj_mat_2.txt
0,25,2802705.0,3125000.0,5.553700965596949,matrices/25_random_adj_mat_3.txt
0,25,2836835.0,3125000.0,6.12219235723804,matrices/25_random_adj_mat_4.txt
0,25,2815930.0,2343750.0,6.324552491154318,matrices/25_random_adj_mat_5.txt
0,25,2801805.0,2343750.0,5.510013135570927,matrices/25_random_adj_mat_6.txt
0,25,2903545.0,3125000.0,6.567373666798839,matrices/25_random_adj_mat_7.txt
0,25,2808835.0,3125000.0,5.923558950636204,matrices/25_random_adj_mat_8.txt
0,25,2826745.0,2343750.0,5.315362407648443,matrices/25_random_adj_mat_9.txt
0,30,3852325.0,3906250.0,6.599210865478614,matrices/30_random_adj_mat_0.txt
0,30,3788975.0,3906250.0,6.5029674281695256,matrices/30_random_adj_mat_1.txt
0,30,3871045.0,3906250.0,7.103253184446777,matrices/30_random_adj_mat_2.txt
0,30,3785150.0,3906250.0,7.078356974894083,matrices/30_random_adj_mat_3.txt
0,30,3823960.0,3906250.0,6.742670761681328,matrices/30_random_adj_mat_4.txt
0,30,3884640.0,3906250.0,7.268043539877485,matrices/30_random_adj_mat_5.txt
0,30,3870955.0,3125000.0,6.107900493754228,matrices/30_random_adj_mat_6.txt
0,30,4269880.0,4687500.0,6.458079026897632,matrices/30_random_adj_mat_7.txt
0,30,4276850.0,3906250.0,6.915579091303954,matrices/30_random_adj_mat_8.txt
0,30,3932900.0,3906250.0,6.297454429235724,matrices/30_random_adj_mat_9.txt
0,40,6256565.0,6250000.0,8.142359819593558,matrices/40_random_adj_mat_0.txt
0,40,6370855.0,6250000.0,8.056121920618475,matrices/40_random_adj_mat_1.txt
0,40,6344480.0,6250000.0,7.909906825874619,matrices/40_random_adj_mat_2.txt
0,40,6281715.0,6250000.0,8.342928670192968,matrices/40_random_adj_mat_3.txt
0,40,6473520.0,7031250.0,7.843866920837603,matrices/40_random_adj_mat_4.txt
0,40,6268090.0,6250000.0,8.383023315527721,matrices/40_random_adj_mat_5.txt
0,40,6360895.0,6250000.0,7.3440463776820355,matrices/40_random_adj_mat_6.txt
0,40,6299145.0,6250000.0,7.972641859791296,matrices/40_random_adj_mat_7.txt
0,40,6255280.0,6250000.0,7.905847821715899,matrices/40_random_adj_mat_8.txt
0,40,6374835.0,6250000.0,8.092112103370171,matrices/40_random_adj_mat_9.txt
0,50,9454755.0,9375000.0,8.6598433453644,matrices/50_random_adj_mat_0.txt
0,50,9483855.0,9375000.0,9.101733767493371,matrices/50_random_adj_mat_1.txt
0,50,9484975.0,9375000.0,8.938402430166114,matrices/50_random_adj_mat_2.txt
0,50,9442985.0,9375000.0,8.506197549590738,matrices/50_random_adj_mat_3.txt
0,50,9406710.0,9375000.0,8.735049476636325,matrices/50_random_adj_mat_4.txt
0,50,9337965.0,10156250.0,9.395757916364266,matrices/50_random_adj_mat_5.txt
0,50,9346695.0,9375000.0,9.182376012703266,matrices/50_random_adj_mat_6.txt
0,50,9427145.0,9375000.0,8.4434250960376,matrices/50_random_adj_mat_7.txt
0,50,9307340.0,9375000.0,8.499199544547258,matrices/50_random_adj_mat_8.txt
0,50,9423140.0,9375000.0,8.334927374210228,matrices/50_random_adj_mat_9.txt
